id;activite_soumise;adresse;nom;dep;bar_tabac;bureau_tabac;cave_cigare;tabac_presse;services;telephone;dep_name
224;buraliste;3 BOULEVARD MORLAND 75004 PARIS VOIR LE PLAN;MEG NELS SNC.;75;0;1;0;0;"";09 83 78 76 08;Paris
225;buraliste;115 RUE ABB GROULT 75015 PARIS VOIR LE PLAN;LE PORTE PLUME LE TABAC D'ICI;75;0;1;0;0;"";"";Paris
226;buraliste;203 RUE FBG ST ANTOINE 75011 PARIS VOIR LE PLAN;LE TABAC SAINT ANTOINE SNC;75;0;1;0;0;"";01 43 72 24 41;Paris
227;buraliste;1 RUE CLAPEYRON 75008 PARIS VOIR LE PLAN;L'ESPACE TABAC;75;0;1;0;0;"";01 44 90 07 86;Paris
228;buraliste;88 RUE FBG ST MARTIN 75010 PARIS VOIR LE PLAN;LE COQ D'OR;75;0;1;0;0;"";01 42 01 16 72;Paris
229;buraliste;166 BOULEVARD MONTPARNASSE 75014 PARIS VOIR LE PLAN;TABAC DE L'OBSERVATOIRE;75;0;1;0;0;"";01 43 35 48 10;Paris
230;buraliste;62 BOULEVARD PORT ROYAL 75005 PARIS VOIR LE PLAN;LE TAIYO;75;0;1;0;0;"";06 60 99 67 77;Paris
231;buraliste;2 PLACE CATALOGNE 75014 PARIS VOIR LE PLAN;ARTABAC;75;0;1;0;0;"";01 40 47 66 50;Paris
232;buraliste;188 AVENUE VERSAILLES 75016 PARIS VOIR LE PLAN;LE HAVANE;75;0;1;0;0;"";01 42 88 05 09;Paris
233;buraliste;91 RUE PROVENCE 75009 PARIS VOIR LE PLAN;ANGLI DONG;75;0;1;0;0;pmu & cigares & cigarettes électroniques & tabac à pipe & timbre poste & timbres fiscaux & timbre amende & confiseries & ;01 48 74 22 90;Paris
234;buraliste;82 BOULEVARD BELLEVILLE 75020 PARIS VOIR LE PLAN;LE TABAC D'EDEN;75;0;1;0;0;"";01 43 64 25 59;Paris
235;buraliste;111 AVENUE LEDRU ROLLIN 75011 PARIS VOIR LE PLAN;MARCEAU;75;0;1;0;0;"";09 67 44 20 77;Paris
236;buraliste;204 RUE COURCELLES 75017 PARIS VOIR LE PLAN;LE PARIS 17;75;0;1;0;0;"";01 43 80 09 21;Paris
237;buraliste;37 BOULEVARD ORNANO 75018 PARIS VOIR LE PLAN;SARDI;75;0;1;0;0;"";01 77 32 94 89;Paris
238;buraliste;68 RUE POTEAU 75018 PARIS VOIR LE PLAN;TABAC 68;75;0;1;0;0;"";"";Paris
239;buraliste;112 RUE LAURISTON 75116 PARIS VOIR LE PLAN;TABAC DU TROCADERO SNC;75;0;1;0;0;"";01 47 55 44 16;Paris
240;buraliste;34 RUE MEUNIERS 75012 PARIS VOIR LE PLAN;LE RALLYE;75;0;1;0;0;"";01 40 19 96 82;Paris
241;buraliste;217 RUE ST MAUR 75010 PARIS VOIR LE PLAN;LE SAINT MAUR;75;0;1;0;0;"";09 67 01 50 25;Paris
242;buraliste;15 RUE SINGER 75016 PARIS VOIR LE PLAN;NAN SUN;75;0;1;0;0;"";01 40 50 14 68;Paris
243;buraliste;230 BOULEVARD VOLTAIRE 75011 PARIS VOIR LE PLAN;MONSIEUR VU LONG;75;0;1;0;0;"";01 43 48 65 54;Paris
244;buraliste;30 RUE LAPPE 75011 PARIS VOIR LE PLAN;TABAC ALMA;75;0;1;0;0;"";01 48 05 04 51;Paris
245;buraliste;47 RUE TURBIGO 75003 PARIS VOIR LE PLAN;KAMAL BELKALEM SAMIR;75;0;1;0;0;"";01 42 74 77 81;Paris
246;buraliste;10 RUE MONTHOLON 75009 PARIS VOIR LE PLAN;LE MONTHOLON;75;0;1;0;0;"";09 62 05 18 79;Paris
247;buraliste;80 BOULEVARD VINCENT AURIOL 75013 PARIS VOIR LE PLAN;QUACH;75;0;1;0;0;"";01 45 85 09 50;Paris
248;buraliste;53 RUE ST PAUL 75004 PARIS VOIR LE PLAN;LA MAISON DU MARAIS;75;0;1;0;0;"";01 43 36 56 95;Paris
249;buraliste;30 RUE GREUZE 75116 PARIS VOIR LE PLAN;DE GREUZE;75;0;1;0;0;"";01 47 27 20 93;Paris
250;buraliste;109 RUE CHARONNE 75011 PARIS VOIR LE PLAN;SNC TABAC DE CHARONNE;75;0;1;0;0;"";01 43 71 20 08;Paris
251;buraliste;BT ESC 4 5 6 129 BOULEVARD MASSNA 75013 PARIS VOIR LE PLAN;HU HUANG;75;0;1;0;0;"";09 77 46 28 15;Paris
252;buraliste;127 AVENUE GAMBETTA 75020 PARIS VOIR LE PLAN;LA CIVETTE PELLEPORT;75;0;1;0;0;"";01 40 30 04 44;Paris
253;buraliste;MACHINERIE BASSE 41 RUE PETITS CHAMPS 75001 PARIS VOIR LE PLAN;SYND COPRO 41 R DES PETITS CHAMPS;75;0;1;0;0;"";01 42 96 09 54;Paris
254;buraliste;63 65 63 RUE FESSART 75019 PARIS VOIR LE PLAN;LA CIVETTE DU PARC;75;0;1;0;0;"";"";Paris
255;buraliste;21 RUE PHILIPPE DE GIRARD 75010 PARIS VOIR LE PLAN;MONSIEUR LAURENT TAI;75;0;1;0;0;"";09 67 21 55 94;Paris
256;buraliste;5 BIS RUE ROCHER 75008 PARIS VOIR LE PLAN;MARTINS;75;0;1;0;0;"";09 67 28 92 48;Paris
257;buraliste;12 RUE LINOIS 75015 PARIS VOIR LE PLAN;UBU STORE;75;0;1;0;0;"";01 45 74 56 25;Paris
258;buraliste;101 RUE TOUR 75116 PARIS VOIR LE PLAN;ACCESS TOUR;75;0;1;0;0;"";09 61 61 47 23;Paris
259;buraliste;94 BOULEVARD COURCELLES 75017 PARIS VOIR LE PLAN;WEILONG S.N.C;75;0;1;0;0;"";09 63 68 90 88;Paris
260;buraliste;114 RUE CRIME 75019 PARIS VOIR LE PLAN;TABAC DES BUTTES;75;0;1;0;0;"";"";Paris
261;buraliste;1 RUE ROMAINVILLE 75019 PARIS VOIR LE PLAN;MADAME IRENEE YANG;75;0;1;0;0;"";01 40 40 73 44;Paris
262;buraliste;16 RUE FBG DU TEMPLE 75011 PARIS VOIR LE PLAN;KIXI;75;0;1;0;0;"";09 60 52 67 19;Paris
263;buraliste;118 AVENUE GN MICHEL BIZOT 75012 PARIS VOIR LE PLAN;TABAC MASSENA;75;0;1;0;0;"";01 43 43 61 91;Paris
264;buraliste;62 AVENUE PHILIPPE AUGUSTE 75011 PARIS VOIR LE PLAN;LE DORIEN;75;0;1;0;0;"";01 43 37 23 08;Paris
265;buraliste;8 PLACE FALGUIRE 75015 PARIS VOIR LE PLAN;TABAC DE LA PLACE;75;0;1;0;0;"";01 45 67 04 05;Paris
